last_name,congress,house,days_until_term_ends,sex,days_since_strike,relevant,date,loyalty,state_code,dim_2,id,dim_1,office_attainment_type,first_name,strike_recently,icpsr,sentiment,dronebase,title,occupancy,restraining,state,votes,party,filibuster,extreme
FEINSTEIN,114,0,1295,0,9,0,6/18/15,1,71,-0.188,858b96a498f6b8855e885673b2161667,-0.263,1,Dianne,0,49300,,2,STATEMENTS ON INTRODUCED BILLS AND JOINT RESOLUTIONS,0,,CALIFOR,407,1,0,0
PAUL,113,0,1399,1,26,1,3/6/13,0,51,-0.5,c3d7ee2ae22f476240d9d1fafc11ee34,0.866,1,Rand,0,41104,0,1,BRENNAN NOMINATION,0,,KENTUCK,537,0,1,1
LIEBERMAN,107,0,1548,1,,,10/8/02,0,1,-0.312,a0d52e59a1522205481cb694e08a5c08,-0.205,1,Joseph,1,15704,,0,AUTHORIZATION OF THE USE OF UNITED STATES ARMED FORCES AGAINST IRAQ,0,,CONNECT,448,,0,0
MCKEON,113,1,569,1,4,1,6/13/13,0,71,0.208,8a1bd079123f60692a2b0d487972bdd4,0.396,1,Howard,1,29315,0,2,NATIONAL DEFENSE AUTHORIZATION ACT FOR FISCAL YEAR 2014,0,,CALIFOR,983,0,0,0
MCCAIN,112,0,2023,1,1,1,6/21/11,0,61,-0.621,a923c133d520e106a95aba9ffc60aad2,0.382,1,John,1,15039,0,2,LIBYA,0,,ARIZONA,387,0,0,0
,111,,,,12,1,7/29/09,0,,,cf86c0e9bb3d2c3765501e8c25f8054d,,,,0,,1,,EARMARK DECLARATION,,0,,,,0,
PAUL,113,0,1399,1,26,1,3/6/13,0,51,-0.5,0f6c34d87858e1e048fbffe71cbf5a35,0.866,1,Rand,0,41104,0,1,UNANIMOUS CONSENT REQUEST--EXECUTIVE CALENDAR,0,,KENTUCK,537,0,1,1
WOOLSEY,112,1,469,0,1,1,9/22/11,1,71,-0.529,b9bf61ce85b542b6e7e1c600faf3542b,-0.556,1,Lynn,1,29309,0,2,OPPOSING AUTOMATED KILLER DRONES,0,,CALIFOR,1385,1,0,0
POE,112,1,163,1,1,0,7/24/12,0,49,0.058,04509cdc4c3093576a3c51cc7764cf75,0.592,1,Ted,1,20528,,2,THE DRONES ARE COMING,0,,TEXAS,1409,0,0,0
PAUL,113,0,1399,1,26,1,3/6/13,0,51,-0.5,392d8d09f27632806a7959a5a9146c4b,0.866,1,Rand,0,41104,0,1,BRENNAN NOMINATION,0,,KENTUCK,537,0,1,1
SHELBY,111,0,413,1,11,1,11/16/09,0,41,0.591,bba8a9947bcd84c8c52a31508f7d2ebd,0.437,1,Richard,0,94659,1,1,TRIBUTE TO DR. WILLIAM McCORKLE,0,0,ALABAMA,612,0,0,0
GOHMERT,113,1,352,1,1,1,1/16/14,0,49,-0.235,968053ea5558e2a476db754d55883fff,0.597,1,Louie,1,20527,0,2,"{time} 1315
  FIRST CONSTITUTIONAL DUTY: PROVIDE FOR OUR COMMON DEFENSE",0,,TEXAS,937,0,0,0
PAUL,113,0,1399,1,26,1,3/6/13,0,51,-0.5,59df9ebb3a9bd175e19bff1be0517553,0.866,1,Rand,0,41104,0,1,BRENNAN NOMINATION,0,,KENTUCK,537,0,1,1
Schakowsky,113,,218,0,18,1,5/30/14,1,,,02f9946a2c32fe060e35bdcc9901e529,,,Janice,0,,0,0,INTELLIGENCE AUTHORIZATION ACT FOR FISCAL YEARS 2014 AND 2015,,,ILLINOIS,,1,0,
Barrasso,113,,2129,1,26,1,3/6/13,0,,,b9290b6df740482dc6233b1d423d5c26,,,John,0,,0,0,UNANIMOUS CONSENT REQUEST--EXECUTIVE CALENDAR,,,WYOMING,,0,0,
FEINSTEIN,114,0,1295,0,9,0,6/18/15,1,71,-0.188,aedd531007755817807d7799ae87c40c,-0.263,1,Dianne,0,49300,,2,STATEMENTS ON INTRODUCED BILLS AND JOINT RESOLUTIONS,0,,CALIFOR,407,1,0,0
HARMAN,108,1,558,0,234,0,6/25/03,0,71,-0.12,fd5c891a7188046f9cad69b7a7d65eef,-0.262,1,Jane,0,29318,,2,INTELLIGENCE AUTHORIZATION ACT FOR FISCAL YEAR 2004,0,,CALIFOR,799,1,0,0
PAUL,113,0,1399,1,26,1,3/6/13,0,51,-0.5,0db8a53d4e8d13afe86cb12de540982c,0.866,1,Rand,0,41104,0,1,BRENNAN NOMINATION,0,,KENTUCK,537,0,1,1
PAUL,113,0,1399,1,26,1,3/6/13,0,51,-0.5,4f72dd252f33f66ca454febb12e458ac,0.866,1,Rand,0,41104,0,1,BRENNAN NOMINATION,0,,KENTUCK,537,0,1,1
PAUL,113,0,1399,1,26,1,3/6/13,0,51,-0.5,47df0bad926abef5d66e0d2c049f0d7b,0.866,1,Rand,0,41104,0,1,BRENNAN NOMINATION,0,,KENTUCK,537,0,1,1
BYRD,108,0,1323,1,199,0,5/21/03,0,56,0.729,d0d03c8f63ea79f5592a2f31d70ed4e3,-0.309,1,Robert,0,1366,,1,NATIONAL DEFENSE AUTHORIZATION ACT FOR FISCAL YEAR 2004,0,,WEST VI,504,1,0,0
Risch,115,,1432,1,2,1,2/1/17,1,,,eab91663440fd042baafde5334cff4c4,,,James,1,,1,0,"RECOGNIZING xCRAFT ENTERPRISES, LLC",,0,IDAHO,,0,0,
INSLEE,108,1,327,1,465,0,2/11/04,0,73,-0.194,5e59283f28dc1b2860d5c7e978cfdf8d,-0.33,1,Jay,0,29937,,1,IRAQ WATCH,0,,WASHING,841,1,0,0
REID,108,0,655,1,137,1,3/20/03,0,65,0.258,3136dcef874d5c4e29f2ca776dc37ebf,-0.276,1,Harry,0,15054,1,2,"COMMENDING THE PRESIDENT AND THE ARMED FORCES OF THE UNITED STATES OF 
  AMERICA",0,0,NEVADA,499,1,0,0
INHOFE,111,0,1496,1,1,1,11/29/10,0,53,0.039,dc90b874fca6fa1059a7178a3e053c6b,0.552,1,James,1,15424,1,0,EARMARKS,0,0,OKLAHOM,594,0,0,0
EVERETT,110,1,225,1,9,0,5/23/08,1,41,0.528,086d641b37e882387dece3e9d340d977,0.414,1,Terry,0,29300,,1,EARMARK DECLARATION,0,,ALABAMA,1290,0,0,0
PAUL,113,0,1399,1,26,1,3/6/13,0,51,-0.5,336a91e3bb830ba98bde82349d952dea,0.866,1,Rand,0,41104,0,1,UNANIMOUS CONSENT REQUEST--EXECUTIVE CALENDAR,0,,KENTUCK,537,0,1,1
REID,111,0,530,1,5,1,7/22/09,1,65,0.258,07bdd2e564f46f415df897941ad0c322,-0.276,1,Harry,1,15054,1,2,DEPARTMENT OF DEFENSE AUTHORIZATION ACT FOR FISCAL YEAR 2010--Continued,0,0,NEVADA,616,1,0,0
KAINE,114,0,1351,1,2,1,4/23/15,1,40,-0.136,83faec278e38cc1910da72c91bb3604f,-0.227,1,Timothy,1,41305,0,1,PROTECTING VOLUNTEER FIREFIGHTERS AND EMERGENCY RESPONDERS ACT,0,,VIRGINI,410,1,0,0
CRUZ,113,0,2129,1,26,1,3/6/13,0,49,-0.196,5c73bb375018332c96a11a91165b7e32,0.858,1,Ted,0,41304,0,2,BRENNAN NOMINATION,0,,TEXAS,510,0,0,1
POE,112,1,163,1,1,0,7/24/12,0,49,0.058,d7e3ad8f6e74886d09a3f47e786d1633,0.592,1,Ted,1,20528,,2,THE DRONES ARE COMING,0,,TEXAS,1409,0,0,0
,107,,,,,1,12/20/01,0,,,2b7029ec2cc030ced33707b5003186a5,,,,1,,1,,"CONFERENCE REPORT ON H.R. 3338, DEPARTMENT OF DEFENSE APPROPRIATIONS 
  ACT, 2002",,0,,,,0,
PEARCE,108,1,216,1,576,0,6/1/04,1,66,0.12,7a62f0c285fda6a2fc292655b70a39d4,0.469,1,Stevan,0,20337,,2,INTELLIGENCE GATHERING IN A CONFUSING WORLD,0,,NEW MEX,817,0,0,0
